OSEBuildingID,DataYear,NumberofBuildings,PropertyGFAParking,LargestPropertyUseTypeGFA,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseTypeGFA,ENERGYSTARScore,SiteEnergyUse(kBtu),TotalGHGEmissions,building_rise,LargestUseType,SecondLargestUseType,ThirdLargestUseType,zip_code,building_age,building_age_bin,area_per_floor,distance(km)
144,2015,1.0,0,190980.0,19051.0,0.0,97.0,6935723.0,150.23,(5-9) MR Mid Rise,hotel-like,parking,none,98104,118.0,> 100,38196.0,1.2658769617417456
145,2015,1.0,0,189750.0,0.0,0.0,,14169301.0,338.23,(5-9) MR Mid Rise,other,none,none,98101,24.0,20 à 40,47350.0,0.9055497048979118
147,2015,1.0,0,302661.0,148865.0,0.0,28.0,63362516.0,1874.42,(5-9) MR Mid Rise,hospital,parking,none,98107,68.0,60 à 80,57066.6,6.661810011723425
148,2015,1.0,0,57904.0,0.0,0.0,91.0,1612965.0,11.24,(1-4) LR Low Rise,school,none,none,98107,31.0,20 à 40,27756.5,6.3999289873520055
163,2015,1.0,0,42755.0,29219.0,0.0,,10434387.0,220.94,(1-4) LR Low Rise,other,office,none,98104,16.0,0 à 20,15289.0,1.671171028433817
167,2015,1.0,0,58000.0,0.0,0.0,,2076630.0,42.99,(1-4) LR Low Rise,other,none,none,98104,112.0,> 100,18205.0,2.1598448267425234
168,2015,1.0,14200,113702.0,32692.0,0.0,75.0,7753080.0,208.03,(1-4) LR Low Rise,hotel-like,parking,none,98109,26.0,20 à 40,37005.5,1.452952913904008
169,2015,1.0,0,289588.0,0.0,0.0,92.0,8747819.0,181.93,(1-4) LR Low Rise,school,none,none,98144,32.0,20 à 40,72397.0,5.409034220068505
170,2015,1.0,0,64820.0,0.0,0.0,,2755578.0,60.35,(1-4) LR Low Rise,campus,none,none,98122,107.0,> 100,21110.0,0.9261474352889647
172,2015,1.0,0,483000.0,0.0,0.0,,37430780.0,839.79,(1-4) LR Low Rise,campus,none,none,98106,52.0,40 à 60,220535.5,7.930623698571654
173,2015,1.0,0,92300.0,4944.0,0.0,,16238985.0,224.13,(1-4) LR Low Rise,office,datacenter,none,98115,20.0,0 à 20,48150.0,8.692831893373944
174,2015,1.0,0,68359.0,0.0,0.0,,6577130.0,211.33,(1-4) LR Low Rise,shops,none,none,98134,72.0,60 à 80,67356.0,2.554051223716602
175,2015,1.0,0,254523.0,0.0,0.0,62.0,13609040.0,366.61,(1-4) LR Low Rise,school,none,none,98122,14.0,0 à 20,84841.0,2.7028406601072588
176,2015,1.0,0,78804.0,0.0,0.0,92.0,2447651.0,53.45,(1-4) LR Low Rise,school,none,none,98118,21.0,20 à 40,26268.0,12.60102674366956
177,2015,1.0,0,66994.0,0.0,0.0,83.0,2266570.0,39.29,(1-4) LR Low Rise,school,none,none,98122,20.0,0 à 20,22331.333333333332,3.262705694977708
178,2015,1.0,0,98357.0,0.0,0.0,90.0,3265995.0,82.55,(1-4) LR Low Rise,school,none,none,98118,22.0,20 à 40,32785.666666666664,10.2247412065377
179,2015,1.0,0,25765.0,25000.0,0.0,,4316654.0,59.61,(1-4) LR Low Rise,office,other,none,98118,64.0,60 à 80,54765.0,9.417188622397003
180,2015,1.0,0,46483.0,37938.0,4579.0,,2017694.0,104.17,(5-9) MR Mid Rise,residential,office,other,98118,13.0,0 à 20,17964.2,9.417188622397003
182,2015,1.0,0,52611.0,0.0,0.0,,4399828.0,105.32,(1-4) LR Low Rise,campus,none,none,98119,42.0,40 à 60,26305.5,4.458105039714645
183,2015,1.0,37500,135520.0,0.0,0.0,88.0,4418055.0,123.02,(1-4) LR Low Rise,residential,none,none,98119,21.0,20 à 40,25525.0,4.464163547982675
185,2015,1.0,0,237357.0,0.0,0.0,96.0,8050977.0,202.97,(1-4) LR Low Rise,school,parking,none,98125,11.0,0 à 20,118379.0,10.628869682351102
187,2015,1.0,0,137565.0,78357.0,0.0,,13901935.0,398.56,(5-9) MR Mid Rise,other,campus,none,98122,51.0,40 à 60,41830.166666666664,1.9245694060649021
189,2015,1.0,0,62526.0,0.0,0.0,97.0,1841968.0,49.08,(1-4) LR Low Rise,school,none,none,other,20.0,0 à 20,20842.0,8.165757543211141
190,2015,1.0,0,30000.0,15000.0,9015.0,19.0,3349666.0,53.27,(1-4) LR Low Rise,office,unheated,other,98108,15.0,0 à 20,21338.333333333332,9.044738890813965
194,2015,1.0,0,505103.0,24936.0,0.0,98.0,29067292.0,765.56,(1-4) LR Low Rise,shops,shops,none,98125,71.0,60 à 80,530039.0,10.191885097757789
195,2015,1.0,0,47012.0,0.0,0.0,,7613116.0,249.01,(1-4) LR Low Rise,hospital,none,none,98125,58.0,40 à 60,18074.666666666668,10.0768822316436
197,2015,1.0,0,122000.0,0.0,0.0,75.0,8835104.0,65.14,(1-4) LR Low Rise,shops,none,none,98125,57.0,40 à 60,31085.5,10.248795951425848
198,2015,1.0,0,879000.0,0.0,0.0,13.0,251191824.0,8046.7,(10+) HR High Rise,hospital,none,none,98105,69.0,60 à 80,87900.0,6.596646828201011
200,2015,1.0,0,28636.0,15385.0,8644.0,74.0,3091559.0,80.49,(1-4) LR Low Rise,office,parking,office,98133,26.0,20 à 40,18480.666666666668,10.4000290521687
205,2015,1.0,0,242795.0,0.0,0.0,82.0,8728584.0,119.09,(1-4) LR Low Rise,school,none,none,other,23.0,20 à 40,121397.5,7.392637835207376
209,2015,1.0,0,85521.0,0.0,0.0,,1136698.0,40.35,(5-9) MR Mid Rise,unheated,none,none,98122,112.0,> 100,16974.0,1.332631961744442
211,2015,11.0,111625,667265.0,0.0,0.0,,37117212.0,440.31,(1-4) LR Low Rise,campus,none,none,98103,52.0,40 à 60,291223.5,9.206016487842987
212,2015,1.0,0,173185.0,0.0,0.0,72.0,6863464.0,282.34,(1-4) LR Low Rise,school,none,none,98118,70.0,60 à 80,86592.5,8.648044498241731
214,2015,1.0,0,139069.0,0.0,0.0,77.0,4998015.0,177.1,(1-4) LR Low Rise,school,none,none,98106,59.0,40 à 60,145341.0,7.841079897827311
215,2015,1.0,0,114297.0,0.0,0.0,67.0,1738724.0,52.94,(1-4) LR Low Rise,unheated,none,none,98108,118.0,> 100,28574.25,7.525291055747828
216,2015,1.0,0,184125.0,0.0,0.0,89.0,8037287.0,294.12,(1-4) LR Low Rise,school,none,none,98118,62.0,60 à 80,92062.5,11.447425487248132
217,2015,1.0,0,160270.0,0.0,0.0,79.0,5674450.0,212.02,(1-4) LR Low Rise,school,none,none,other,63.0,60 à 80,160270.0,9.576137316938604
220,2015,1.0,0,234144.0,0.0,0.0,82.0,7370743.0,320.35,(1-4) LR Low Rise,unheated,none,none,98134,85.0,80 à 100,234144.0,6.382074369463461
223,2015,1.0,0,65425.0,0.0,0.0,76.0,2721646.0,32.75,(1-4) LR Low Rise,shops,none,none,98126,56.0,40 à 60,64984.0,10.81364735761542
224,2015,1.0,0,67782.0,0.0,0.0,31.0,9560965.0,368.63,(1-4) LR Low Rise,shops,none,none,98126,57.0,40 à 60,67745.0,10.81364735761542
225,2015,1.0,0,367884.0,0.0,0.0,93.0,12263687.0,271.32,(1-4) LR Low Rise,school,none,none,98106,12.0,0 à 20,183942.0,9.906659779596938
226,2015,1.0,0,46797.0,0.0,0.0,86.0,1911611.0,62.2,(1-4) LR Low Rise,school,none,none,98126,64.0,60 à 80,46797.0,11.248451993577522
227,2015,1.0,0,136188.0,0.0,0.0,67.0,5436057.0,178.5,(1-4) LR Low Rise,school,none,none,98144,59.0,40 à 60,45396.0,3.0192591063720586
228,2015,1.0,0,56000.0,0.0,0.0,,1755264.0,53.61,(1-4) LR Low Rise,other,none,none,other,49.0,40 à 60,18666.666666666668,8.296128890252998
229,2015,1.0,0,67371.0,0.0,0.0,92.0,2075833.0,42.8,(1-4) LR Low Rise,school,none,none,98118,18.0,0 à 20,33685.5,9.283219788855416
230,2015,1.0,0,52088.0,0.0,0.0,,1186800.0,39.54,(1-4) LR Low Rise,unheated,none,none,98126,53.0,40 à 60,26044.0,8.532306047074469
231,2015,1.0,0,127776.0,0.0,0.0,81.0,4213726.0,56.96,(1-4) LR Low Rise,school,none,none,98103,12.0,0 à 20,42592.0,4.59020800518914
232,2015,1.0,30000,123920.0,30000.0,0.0,82.0,8964061.0,289.43,(5-9) MR Mid Rise,hotel-like,parking,other,98109,24.0,20 à 40,18784.0,1.568183742424398
233,2015,1.0,0,43000.0,0.0,0.0,,7338511.0,221.62,(1-4) LR Low Rise,other,none,none,98109,122.0,> 100,58000.0,1.3039476860447297
234,2015,1.0,0,42345.0,5000.0,4730.0,,715446.0,4.99,(1-4) LR Low Rise,unheated,residential,office,98109,96.0,80 à 100,25146.0,1.2769394720818659
235,2015,1.0,54341,141591.0,0.0,0.0,77.0,10735331.0,314.26,(5-9) MR Mid Rise,hotel-like,none,none,98109,24.0,20 à 40,21902.14285714286,1.3745125246794019
237,2015,1.0,0,67235.0,0.0,0.0,85.0,2364351.0,44.06,(1-4) LR Low Rise,school,none,none,other,23.0,20 à 40,33617.5,8.06990293433949
238,2015,1.0,0,57968.0,32881.0,11850.0,40.0,9146727.0,166.73,(1-4) LR Low Rise,office,distribution center,parking,98103,65.0,60 à 80,42508.5,9.325386891443355
239,2015,1.0,0,59014.0,0.0,0.0,97.0,1362993.0,17.86,(1-4) LR Low Rise,school,none,none,other,31.0,20 à 40,19372.666666666668,9.360812053123748
241,2015,1.0,0,64893.0,0.0,0.0,73.0,6056481.0,206.3,(1-4) LR Low Rise,hotel-like,none,none,98133,54.0,40 à 60,16223.25,10.367888170570282
242,2015,1.0,0,55480.0,0.0,0.0,98.0,1227290.0,8.56,(1-4) LR Low Rise,school,none,none,98115,33.0,20 à 40,26396.0,9.191315112847658
243,2015,1.0,0,70762.0,0.0,0.0,95.0,2933003.0,138.96,(1-4) LR Low Rise,school,none,none,98108,97.0,80 à 100,70762.0,9.080830902144628
244,2015,1.0,0,34416.0,7672.0,2470.0,83.0,1527917.0,26.55,(1-4) LR Low Rise,office,unheated,shops,98104,122.0,> 100,18818.666666666668,1.663835835809584
245,2015,1.0,327680,1585960.0,0.0,0.0,,59991984.0,834.11,(5-9) MR Mid Rise,other,parking,none,98104,23.0,20 à 40,209713.33333333334,2.423912052172778
247,2015,1.0,0,117476.0,37321.0,25543.0,,9974370.0,98.95,(1-4) LR Low Rise,distribution center,office,other,98134,98.0,80 à 100,89580.5,4.978567694449133
248,2015,1.0,0,40831.0,16735.0,11533.0,,4116805.0,28.7,(1-4) LR Low Rise,unheated,other,office,98134,57.0,40 à 60,25000.0,4.978567694449133
249,2015,1.0,0,1172127.0,0.0,0.0,,57514116.0,1236.93,(1-4) LR Low Rise,other,none,none,98134,23.0,20 à 40,390709.0,2.7460252974691515
250,2015,1.0,14567,135006.0,20600.0,9216.0,61.0,13116256.0,402.03,(5-9) MR Mid Rise,hotel-like,parking,other,98134,17.0,0 à 20,17098.0,2.588723607072933
257,2015,1.0,0,79600.0,0.0,0.0,55.0,1786986.0,12.46,(1-4) LR Low Rise,unheated,none,none,98134,106.0,> 100,19900.0,4.886904498294659
261,2015,16.0,31874,260000.0,78404.0,0.0,,52273792.0,706.26,(1-4) LR Low Rise,office,hospital,parking,98108,42.0,40 à 60,151247.0,10.323488822904332
263,2015,1.0,335109,335109.0,65000.0,13567.0,,9477865.0,163.99,(5-9) MR Mid Rise,parking,other,office,98125,14.0,0 à 20,14123.166666666666,9.640369617240097
264,2015,1.0,39179,58563.0,48520.0,29839.0,,10608788.0,91.53,(1-4) LR Low Rise,residential,shops,parking,98119,20.0,0 à 20,17901.5,1.9790418178378033
268,2015,1.0,0,601615.0,48607.0,0.0,45.0,137635696.0,4725.43,(5-9) MR Mid Rise,hospital,parking,none,98122,32.0,20 à 40,119503.8,2.001749169390941
273,2015,1.0,0,71714.0,0.0,0.0,89.0,2223321.0,30.27,(1-4) LR Low Rise,school,none,none,98106,23.0,20 à 40,71714.0,10.112164980690292
274,2015,1.0,8161,67236.0,8161.0,0.0,91.0,516216.0,8.66,(1-4) LR Low Rise,unheated,parking,none,98103,31.0,20 à 40,22412.0,3.9342788994746347
276,2015,1.0,0,1350182.0,387651.0,0.0,30.0,295812640.0,10780.64,(5-9) MR Mid Rise,hospital,parking,none,98104,22.0,20 à 40,144836.375,1.5926269162362232
278,2015,1.0,12611,55259.0,40091.0,3231.0,,10620628.0,197.3,(5-9) MR Mid Rise,hotel-like,office,school,98134,23.0,20 à 40,18037.0,2.373187624579336
